instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,74.7,61.0,9.121951545584968,10.57402477772773,8.414273587185052,55,66.0,1.0
la01,890.5,874.6,807.1,95.86683472400662,110.48818941407266,121.04747002725831,666,710.0,1.0
la06,1189.1,1116.3,1055.9,139.39616207055343,195.4942710158024,143.62203869880136,926,946.0,1.0
la11,1503.7,1387.0,1311.8,132.8209697299338,147.7511421275653,184.06346731494548,1222,1222.0,1.0
la21,1448.0,1461.7,1132.7,105.48744001064772,130.0792450777602,78.59777350536082,1046,1316.0,1.0
la31,2454.6,2295.0,2049.8,117.1965869810209,178.06066381994648,191.4485831757446,1784,1993.0,1.0
la36,1829.7,1824.0,1404.6,104.93050080886871,129.28340960850315,49.4796928042202,1268,1562.0,1.0
orb01,1430.9,1503.7,1070.7,75.78713611161199,124.05164247199632,69.00731845246561,1059,1285.0,1.0
yn1,1288.6,1300.9,977.1,50.8865404601256,84.36166190871302,28.85290280023832,898,1123.0,0.3
swv01,1963.8,2218.9,1535.3,173.81587959677333,225.44420595792653,182.6203986415537,1429,1974.0,0.7
swv06,2474.4,2743.1,1831.8,62.89069883536039,130.3491081672598,75.67800208779299,1712,2393.0,0.1
ft06,69.3,74.7,61.0,9.121951545584968,10.57402477772773,8.414273587185052,55,66.0,1.0
la01,890.5,874.6,807.1,95.86683472400662,110.48818941407266,121.04747002725831,666,710.0,1.0
la06,1189.1,1116.3,1055.9,139.39616207055343,195.49427101580238,143.62203869880136,926,946.0,1.0
la11,1503.7,1387.0,1311.8,132.8209697299338,147.7511421275653,184.06346731494548,1222,1222.0,1.0
la21,1448.0,1461.7,1132.7,105.48744001064772,130.0792450777602,78.59777350536082,1046,1316.0,1.0
la31,2454.6,2295.0,2049.8,117.1965869810209,178.06066381994648,191.4485831757446,1784,1993.0,1.0
la36,1829.7,1824.0,1404.6,104.93050080886873,129.28340960850315,49.4796928042202,1268,1562.0,1.0
orb01,1430.9,1503.7,1070.7,75.78713611161199,124.05164247199632,69.00731845246561,1059,1285.0,1.0
yn1,1288.6,1300.9,977.1,50.8865404601256,84.36166190871302,28.85290280023832,898,1123.0,0.3
swv01,1963.8,2218.9,1535.3,173.81587959677333,225.44420595792653,182.62039864155372,1429,1974.0,0.7
swv06,2474.4,2743.1,1831.8,62.89069883536039,130.3491081672598,75.67800208779299,1712,2393.0,0.1
swv11,4291.1,4760.3,3237.5,162.38007882742266,181.41722630444994,135.65415585229962,3207,4503.0,0.1
swv12,4543.9,5052.9,3431.4,193.57450761915942,245.07200982568372,166.6926513077286,3237,4708.0,0.3
swv13,4614.1,5252.1,3595.2,130.06340761336372,262.5743513749963,244.26002538278752,3277,4777.0,0.5
swv14,4300.2,4855.8,3159.3,115.41039814505451,172.0899764658012,140.01146381636042,3142,4636.0,0.3
swv15,4117.3,4955.3,3134.2,119.25355340617739,178.48476125428746,113.20759691822806,3047,4867.0,0.4
