,agent,fifo,lifo,lpt,spt,ltpt,stpt,mor,lor
ft06,74.5,75,75.1,77,71.7,76.8,78.8,67.5,77.5
la01,972.6,1051,960.9,1067,941.8,917.9,1107.2,930.8,1116.1
la06,1112.1,1173.5,1224.8,1396.3,1208.6,1190.6,1265.3,1088.5,1186
la11,1383.4,1551.9,1575.8,1778.9,1420,1529.7,1627.9,1364.4,1644.8
la21,1476.9,1549.5,1569.1,1652.2,1448.2,1525.9,1658.6,1472.4,1603.1
la31,2198.3,2538.2,2571.2,2766.1,2242.6,2439,2698,2208.7,2681.5
la36,1722.4,1814.5,2010,2110.6,1887.4,1902.4,2099.2,1690.2,2030.4
orb01,1442,1511.9,1520.7,1616,1277.6,1491.4,1564.1,1457.5,1424.7
swv01,1978.9,2103.6,2148.4,2495.3,1847.2,2185.1,2138.2,2210.6,2193.1
swv06,2371,2688.8,2671.7,3006.8,2463.3,2701.4,2721.7,2631.9,2748.4
swv11,3977.5,4175.3,4074.6,5311.8,3584.5,4266.3,4133.7,4782.7,4312.6
yn1,1243.1,1403.8,1382.9,1425.4,1241.7,1307.3,1439.5,1202.3,1462.1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,Gap=,0.202438718,,,,
